canonical_name,category,source_group,source_url,note
Acı Biber Salçası,condiment,pantry_essentials,https://www.turkishfoodtravel.com/2025/07/06/the-most-essential-ingredients-in-turkish-cooking/,new row
Acı Sivri Biber,vegetable,menemen,https://en.wikipedia.org/wiki/Menemen_(food),new row
Acı Sos,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Acı Toz Biber,spice,ezogelin,https://en.wikipedia.org/wiki/Ezogelin_soup,new row
Adaçayı,herb,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Ahtapot,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Ahududu,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Alabalık,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Ananas,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Anason,spice,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Antep Fıstığı,nut,baklava,https://en.wikipedia.org/wiki/Baklava,new row
Armut,existing_user_dataset,user_file,uploaded file,carried from input
Arpa,existing_user_dataset,user_file,uploaded file,carried from input
Arpa Şehriye,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Asma Yaprağı,vegetable,dolma_sarma,https://gastronomy.goturkiye.com/blog/16-foods-you-have-to-try-on-your-trip-to-turkiye,new row
Aşurelik Buğday,grain,ayran_asi,https://gastronomy.goturkiye.com/blog/turkish-cuisine-in-the-heat-of-summer,new row
Avokado,existing_user_dataset,user_file,uploaded file,carried from input
Ayçiçeği Çekirdeği,existing_user_dataset,user_file,uploaded file,carried from input
Ayçiçek Yağı,existing_user_dataset,user_file,uploaded file,carried from input
Ayran,dairy,ayran_asi,https://gastronomy.goturkiye.com/blog/turkish-cuisine-in-the-heat-of-summer,new row
Ayva,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Badem,existing_user_dataset,user_file,uploaded file,carried from input
Badem İçi,nut,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Badem Sütü,existing_user_dataset,user_file,uploaded file,carried from input
Bakla,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Bakla İçi,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Baklavalık Yufka,dessert,baklava,https://en.wikipedia.org/wiki/Baklava,new row
Bal,existing_user_dataset,user_file,uploaded file,carried from input
Baldo Pirinç,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Bamya,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Barbun,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Barbunya,existing_user_dataset,user_file,uploaded file,carried from input
Bazlama,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Beyaz Biber,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Beyaz Ekmek,existing_user_dataset,user_file,uploaded file,carried from input
Beyaz Lahana,vegetable,dolma_sarma,https://gastronomy.goturkiye.com/blog/16-foods-you-have-to-try-on-your-trip-to-turkiye,new row
Beyaz Peynir,existing_user_dataset,user_file,uploaded file,carried from input
Beyaz Susam,seed,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Bezelye,existing_user_dataset,user_file,uploaded file,carried from input
Biber,existing_user_dataset,user_file,uploaded file,carried from input
Biber Salçası,condiment,pantry_essentials,https://www.turkishfoodtravel.com/2025/07/06/the-most-essential-ingredients-in-turkish-cooking/,new row
Biberiye,herb,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Bıldırcın Yumurtası,existing_user_dataset,user_file,uploaded file,carried from input
Böğürtlen,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Börek Yufkası,bakery,borek,https://www.turkishfoodtravel.com/2021/12/14/turkish-borek-recipe-2/,new row
Börülce,legume,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Boza,beverage,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Brokoli,existing_user_dataset,user_file,uploaded file,carried from input
Brüksel Lahanası,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Buğday Nişastası,pantry,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Bulgur,existing_user_dataset,user_file,uploaded file,carried from input
Çam Fıstığı,nut,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Çarliston Biber,vegetable,menemen,https://en.wikipedia.org/wiki/Menemen_(food),new row
Çavdar Ekmeği,existing_user_dataset,user_file,uploaded file,carried from input
Çeçil Peyniri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Ceviz,existing_user_dataset,user_file,uploaded file,carried from input
Ceviz İçi,nut,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Chia Tohumu,existing_user_dataset,user_file,uploaded file,carried from input
Çilek,existing_user_dataset,user_file,uploaded file,carried from input
Çipura,existing_user_dataset,user_file,uploaded file,carried from input
Çökelek,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Çörek Otu,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Cottage Cheese,existing_user_dataset,user_file,uploaded file,carried from input
Damla Sakızı,spice,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Dana Biftek,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Dana Bonfile,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Dana Ciğeri,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Dana Eti,existing_user_dataset,user_file,uploaded file,carried from input
Dana Kıyma,existing_user_dataset,user_file,uploaded file,carried from input
Dana Kuşbaşı,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Defne Yaprağı,herb,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Dereotu,existing_user_dataset,user_file,uploaded file,carried from input
Dil,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Dil Peyniri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Dolmalık Biber,vegetable,dolma_sarma,https://gastronomy.goturkiye.com/blog/16-foods-you-have-to-try-on-your-trip-to-turkiye,new row
Domates,existing_user_dataset,user_file,uploaded file,carried from input
Domates Salçası,condiment,pantry_essentials,https://www.turkishfoodtravel.com/2025/07/06/the-most-essential-ingredients-in-turkish-cooking/,new row
Dut,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Dut Pekmezi,sweetener,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Edamame,existing_user_dataset,user_file,uploaded file,carried from input
Ekmek,existing_user_dataset,user_file,uploaded file,carried from input
Elma,existing_user_dataset,user_file,uploaded file,carried from input
Elma Sirkesi,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Enginar,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Erik,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Erişte,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
