Id,DietitianId,Name,Description,IsPublic,IsDemo,IsDraft,IsHiddenFromProduction,StepsJson,ArchivedAtUtc,CookTimeMinutes,IsArchived,PrepTimeMinutes,Servings,TagsJson,Slug,CaloriesKcal,CarbsGrams,FatGrams,ProteinGrams
a2afa254-77e3-541b-9e7d-cbd55f5f36c5,13646f33-77b1-4657-a6cf-b9911e84bb84,Tarçınlı kivili yulaf ve süzme yoğurt kasesi,"Akdeniz esintili bu kahvaltı, lif ve sağlıklı yağ dengesi için tasarlandı. Kivi, yulaf ve süzme yoğurt birleşimiyle hafif ama dengeli bir başlangıç sunar.",True,False,False,False,"[""Yulaf tabanını uygun bir kapta hazırlayın; gerekiyorsa birkaç dakika önceden sıvı ile yumuşatın."", ""Süzme Yoğurt ile kivi parçalarını ayrı bir kapta nazikçe karıştırın."", ""Kaseye önce yulaf tabanını, üzerine süzme yoğurt karışımını alın."", ""Ceviz ve seçtiğiniz baharat dokunuşunu üzerine serpin."", ""Kıvamı oturduktan sonra soğuk servis edin.""]",NULL,4,False,8,1,"[""kahvaltı"", ""kase"", ""akdeniz"", ""fermente"", ""c vitamini""]",tarcinli-kivili-yulaf-ve-suzme-yogurt-kasesi-a2afa2,506,51.00,22.40,25.00
6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,13646f33-77b1-4657-a6cf-b9911e84bb84,Kekikli bezelyeli ve mantarlı omlet,"Tok tutan dokulu bu tarif, yumurta ve sebzeleri tek tavada bir araya getirir. Günün ilk yarısında dengeli bir protein kaynağı arayanlar için uygundur.",True,False,False,False,"[""Bezelye ve mantar küçük parçalar halinde doğrayın."", ""Yapışmaz tavayı ısıtıp sebzeleri kısa süre soteleyin."", ""Yumurtaları çırpıp lor peyniri ile pürüzsüz hale getirin."", ""Karışımı tavaya dökün ve kısık ateşte kontrollü şekilde pişirin."", ""Omleti ikiye katlayıp sıcak servis edin.""]",NULL,11,False,11,1,"[""kahvaltı"", ""omlet"", ""yüksek protein"", ""tava"", ""lif""]",kekikli-bezelyeli-ve-mantarli-omlet-6b7fa9,515,25.00,25.70,46.00
189b78de-f65d-5902-a7fc-12f7649b6e19,13646f33-77b1-4657-a6cf-b9911e84bb84,Elmalı armutlu ve havuçlu smoothie,"Pratik hazırlanabilen ara öğün alternatifi olan bu smoothie, gün içinde sürdürülebilir enerji hedefini destekler. Meyve ve yeşil sebzeyi dengeli şekilde bir araya getirir.",True,False,False,False,"[""Elma ve armut meyvelerini uygun boyutta hazırlayın."", ""Blender haznesine lor peyniri, havuç ve meyveleri ekleyin."", ""İsteğe göre birkaç buz küpü ve su ilavesi yapın."", ""Karışım pürüzsüz olana kadar blenderdan geçirin."", ""Bekletmeden servis edin.""]",NULL,0,False,9,1,"[""ara öğün"", ""smoothie"", ""pratik"", ""lif"", ""renkli sebze""]",elmali-armutlu-ve-havuclu-smoothie-189b78,378,49.00,10.60,21.70
9d6f3f42-669b-540e-86dd-b4e9b5a2040a,13646f33-77b1-4657-a6cf-b9911e84bb84,Zencefilli fasulyeli kerevizli çorbası,"Hafif yapılı bu çorba, baklagil bazlı yapısıyla mikrobesin çeşitliliği ve sindirim konforu sunar. Öğle ya da akşam öğününde hafif ama doyurucu bir alternatif oluşturur.",True,False,False,False,"[""Kereviz ve temel aromatik sebzeleri küçük küpler halinde doğrayın."", ""Tencerede kısa süre kavurup baklagili ekleyin."", ""Üzerini geçecek kadar sıcak su ilave edip kısık ateşte pişirin."", ""Zencefilli dokunuşunu ekleyip kıvamı oturana kadar kaynatın."", ""İsterseniz kısmen blenderdan geçirip sıcak servis edin.""]",NULL,23,False,18,3,"[""çorba"", ""öğle yemeği"", ""sebze ağırlıklı"", ""baklagil"", ""lif"", ""hafif""]",zencefilli-fasulyeli-kerevizli-corbasi-9d6f3f,364,47.00,12.40,16.00
ac72654c-837b-58f2-8ea2-974a19204960,13646f33-77b1-4657-a6cf-b9911e84bb84,Fesleğenli levrekli kinoa salata kasesi,"Dengeli porsiyonlu bu kase, levrek fileto ve kinoa ile uzun süreli tokluk sağlar. Renkli sebzeler sayesinde tabağa canlı bir görünüm ve iyi bir lif dengesi ekler.",True,False,False,False,"[""Kinoa tabanını ayrı bir kapta haşlayıp süzün."", ""Levrek Fileto için tercih ettiğiniz pişirme yöntemini uygulayıp dilimleyin."", ""Pancar ve eşlik edecek yeşillikleri hazırlayın."", ""Sos malzemelerini karıştırıp kaseyi katmanlı şekilde birleştirin."", ""Sosu servis öncesinde gezdirip hemen sunun.""]",NULL,21,False,11,1,"[""öğle yemeği"", ""salata kasesi"", ""denge"", ""balık"", ""kompleks karbonhidrat"", ""fesleğenli""]",feslegenli-levrekli-kinoa-salata-kasesi-ac7265,501,41.00,23.20,32.00
caa92266-b50e-578c-846a-73dce2002526,13646f33-77b1-4657-a6cf-b9911e84bb84,Yoğurt soslu hindili biberli wrap,"Kolay taşınabilir öğün düzeni hedefleyen bu wrap, taşınabilir yapısıyla yoğun günlerde iyi çalışır. İç dolgu dengeli karbonhidrat, protein ve sebzeyi aynı lokmada toplar.",True,False,False,False,"[""Hindi Göğsü harcını önceden pişirip ılıtın."", ""Renkli Biber ve diğer eşlikçileri ince jülyen halinde hazırlayın."", ""Tam Buğday Lavaş yüzeyine yoğurt sos sürün."", ""Dolgu malzemelerini merkezde toplayıp sıkı şekilde sarın."", ""İkiye bölüp ılık ya da soğuk servis edin.""]",NULL,15,False,11,1,"[""öğle yemeği"", ""wrap"", ""ofis dostu"", ""yüksek protein"", ""hafif"", ""taşınabilir""]",yogurt-soslu-hindili-biberli-wrap-caa922,432,40.00,13.30,38.00
775d6c99-f437-5a1c-b1d7-8ab0e620f5e4,13646f33-77b1-4657-a6cf-b9911e84bb84,Limonlu levrekli semizotlu fırın tepsisi,"Ferah ve renkli ve dengeli bu ana öğün, tek tepside pratik hazırlık sunar. Levrek Fileto ile semizotu uyumu hafif akşam yemekleri için güçlü bir seçenektir.",True,False,False,False,"[""Fırını önceden 190 dereceye ısıtın."", ""Levrek Fileto ve sebzeleri eşit pişecek boyutta hazırlayın."", ""Malzemeleri tepsiye yayıp zeytinyağı ve baharatlarla harmanlayın."", ""Limonlu dokunuşuyla lezzeti tamamlayın."", ""Kızarana kadar pişirip sıcak servis edin.""]",NULL,21,False,14,2,"[""akşam yemeği"", ""fırın"", ""akdeniz"", ""balık"", ""omega-3"", ""limonlu""]",limonlu-levrekli-semizotlu-firin-tepsisi-775d6c,372,16.00,20.90,30.00
3c72926c-d0e0-54bb-99e9-a17d0349db6d,13646f33-77b1-4657-a6cf-b9911e84bb84,Tavuklu karabuğdaylı dolgulu patlıcan,"Yüksek protein odaklı bu fırın yemeği, porsiyon kontrolünü kolaylaştıran düzenli bir ana öğündür. Patlıcan içinde hazırlanan iç harç, kas korunumu ve uzun süreli tokluk desteği sunar.",True,False,False,False,"[""Patlıcan içini hazırlayıp dolguluk hale getirin."", ""Tavuk Göğsü ve karabuğday bazlı iç harcı tavada kısa süre çevirin."", ""Fesleğenli baharatlarını ekleyip iç harcı dengeleyin."", ""Sebzelerin içine paylaştırıp fırın kabına dizin."", ""Yumuşayana kadar pişirip sıcak servis edin.""]",NULL,24,False,15,2,"[""akşam yemeği"", ""dolma"", ""yüksek protein"", ""glutensiz"", ""fırın""]",tavuklu-karabugdayli-dolgulu-patlican-3c7292,450,45.00,14.50,35.00
1df952df-afff-59d3-ae4c-3e4551ef4fd2,13646f33-77b1-4657-a6cf-b9911e84bb84,Kabaklı tavuklu mini köfte,"Hızlı hazırlanabilen bu tarif, kontrollü porsiyonda hazırlanabilen çok yönlü bir tabak sunar. Yanına eklenen sos ile ara öğün ya da ana öğün olarak değerlendirilebilir.",True,False,False,False,"[""Tavuk Göğsü bazını robotta çekip kabak ile karıştırın."", ""Baharatları ekleyip şekil alacak kıvama getirin."", ""Karışımdan küçük parçalar alıp köfte formu verin."", ""Tavada ya da fırında kontrollü şekilde pişirin."", ""Humus ile birlikte servis edin.""]",NULL,17,False,13,3,"[""pratik"", ""köfte"", ""yüksek protein"", ""sebze"", ""yüksek tokluk""]",kabakli-tavuklu-mini-kofte-1df952,576,24.00,30.20,52.00
0114b3d4-4f21-5039-b288-b193c8472fe1,13646f33-77b1-4657-a6cf-b9911e84bb84,Kekikli tavuklu sebze sote,"Sebze ağırlıklı bu tava yemeği, tek kapta pişen düzenli bir öğün sunar. Tavuk Göğsü ve sebzelerin diri dokusu sayesinde hafif ama tatmin edicidir.",True,False,False,False,"[""Tavuk Göğsü uygun boyutta hazırlayın."", ""Ispanak ve patlıcan sebzelerini benzer büyüklükte doğrayın."", ""Wok ya da geniş tavayı iyice ısıtıp malzemeleri sırasıyla ekleyin."", ""Kekikli aroması ile son dokunuşu yapın."", ""Sebzeler hafif diri kalacak şekilde servis edin.""]",NULL,16,False,13,2,"[""ana öğün"", ""sote"", ""sebze ağırlıklı"", ""yüksek protein"", ""demir kaynağı"", ""tek tava""]",kekikli-tavuklu-sebze-sote-0114b3,363,20.00,17.70,31.00
