Id,DietitianId,Name,Description,IsPublic,IsDemo,IsDraft,IsHiddenFromProduction,StepsJson,ArchivedAtUtc,CookTimeMinutes,IsArchived,PrepTimeMinutes,Servings,TagsJson,Slug,CaloriesKcal,CarbsGrams,FatGrams,ProteinGrams
0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,13646f33-77b1-4657-a6cf-b9911e84bb84,Yoğurt soslu ton balıklı soğanlı wrap,"Gün içinde sürdürülebilir enerji hedefleyen bu wrap, taşınabilir yapısıyla yoğun günlerde iyi çalışır. İç dolgu dengeli karbonhidrat, protein ve sebzeyi aynı lokmada toplar.",False,False,False,False,"[""Ton Balığı harcını önceden pişirip ılıtın."", ""Soğan ve diğer eşlikçileri ince jülyen halinde hazırlayın."", ""Tam Buğday Lavaş yüzeyine yoğurt sos sürün."", ""Dolgu malzemelerini merkezde toplayıp sıkı şekilde sarın."", ""İkiye bölüp ılık ya da soğuk servis edin.""]",NULL,14,False,12,1,"[""öğle yemeği"", ""wrap"", ""pratik"", ""balık"", ""hafif"", ""taşınabilir""]",yogurt-soslu-ton-balikli-soganli-wrap-0c31ce,458,43.00,16.20,35.00
dcd05558-9eeb-557f-9afa-6f04bd9ca919,13646f33-77b1-4657-a6cf-b9911e84bb84,Kekikli hindili kabaklı fırın tepsisi,"Hafif ve dengeli bu ana öğün, tek tepside pratik hazırlık sunar. Hindi Göğsü ile kabak uyumu hafif akşam yemekleri için güçlü bir seçenektir.",False,False,False,False,"[""Fırını önceden 190 dereceye ısıtın."", ""Hindi Göğsü ve sebzeleri eşit pişecek boyutta hazırlayın."", ""Malzemeleri tepsiye yayıp zeytinyağı ve baharatlarla harmanlayın."", ""Kekikli dokunuşuyla lezzeti tamamlayın."", ""Kızarana kadar pişirip sıcak servis edin.""]",NULL,20,False,12,2,"[""akşam yemeği"", ""fırın"", ""sebze ağırlıklı"", ""yüksek protein"", ""sebze"", ""kekikli""]",kekikli-hindili-kabakli-firin-tepsisi-dcd055,344,19.00,16.40,30.00
09973727-4633-5834-a3f8-c7e0889b15a9,13646f33-77b1-4657-a6cf-b9911e84bb84,Naneli hellimli kinoa pilavı,"Ölçülü yapılı bu pilav tabağı, gün içi enerji ihtiyacını kontrollü karşılamak için tasarlandı. Tane tane doku ve dengeli protein miktarıyla günlük planlara kolayca uyum sağlar.",False,False,False,False,"[""Kinoa tabanını yıkayıp uygun kıvamda pişirin."", ""Hellim Peyniri ve sarımsak ile ayrı bir iç harç hazırlayın."", ""Pişen tahılı harçla birleştirip birkaç dakika dinlendirin."", ""Naneli ile aromayı canlandırın."", ""Ana öğün olarak sıcak servis edin.""]",NULL,16,False,13,3,"[""öğle yemeği"", ""pilav"", ""denge"", ""kompleks karbonhidrat"", ""peynir"", ""naneli""]",naneli-hellimli-kinoa-pilavi-099737,569,34.00,36.10,27.00
35c8c444-28b9-556c-b010-9ba04027e86a,13646f33-77b1-4657-a6cf-b9911e84bb84,Kekikli falafelli esmer pirinç pilavı,"Taşınabilir yapılı bu pilav tabağı, gün içi enerji ihtiyacını kontrollü karşılamak için tasarlandı. Tane tane doku ve dengeli protein miktarıyla günlük planlara kolayca uyum sağlar.",False,False,False,False,"[""Esmer Pirinç tabanını yıkayıp uygun kıvamda pişirin."", ""Falafel ve pancar ile ayrı bir iç harç hazırlayın."", ""Pişen tahılı harçla birleştirip birkaç dakika dinlendirin."", ""Kekikli ile aromayı canlandırın."", ""Ana öğün olarak sıcak servis edin.""]",NULL,27,False,14,2,"[""öğle yemeği"", ""pilav"", ""ofis dostu"", ""denge"", ""baklagil"", ""kekikli""]",kekikli-falafelli-esmer-pirinc-pilavi-35c8c4,567,65.00,25.20,20.00
59831755-0ff7-52ff-8ad8-86446d457bb8,13646f33-77b1-4657-a6cf-b9911e84bb84,Sumaklı karidesli kinoa pilavı,"Tanıdık ama hafif yapılı bu pilav tabağı, gün içi enerji ihtiyacını kontrollü karşılamak için tasarlandı. Tane tane doku ve dengeli protein miktarıyla günlük planlara kolayca uyum sağlar.",False,False,False,False,"[""Kinoa tabanını yıkayıp uygun kıvamda pişirin."", ""Karides ve roka ile ayrı bir iç harç hazırlayın."", ""Pişen tahılı harçla birleştirip birkaç dakika dinlendirin."", ""Sumaklı ile aromayı canlandırın."", ""Ana öğün olarak sıcak servis edin.""]",NULL,24,False,17,3,"[""öğle yemeği"", ""pilav"", ""türk mutfağı"", ""kompleks karbonhidrat"", ""deniz ürünü"", ""sumaklı""]",sumakli-karidesli-kinoa-pilavi-598317,436,33.00,20.40,30.00
5c4ebd7f-4d00-50b3-ae56-6f44b6186926,13646f33-77b1-4657-a6cf-b9911e84bb84,Avokadolu falafelli sandviç,"İtalyan dokunuşlu bu sandviç, dışarıda yemek gereken günlerde planı korumayı kolaylaştırır. Çavdar Ekmeği tabanı ve dengeli iç harcı sayesinde hızlı ama doyurucu bir seçenek sunar.",False,False,False,False,"[""Çavdar Ekmeği dilimlerini hafifçe ısıtın."", ""Yüzeye önce avokado ezmesi, ardından falafel katmanını ekleyin."", ""Sarımsak ile taze bir katman oluşturun."", ""Sandviçi sıkı şekilde kapatıp ikiye bölün."", ""İsteğe göre yanında ayran veya salata ile servis edin.""]",NULL,6,False,7,1,"[""öğle yemeği"", ""sandviç"", ""italyan esintisi"", ""baklagil"", ""taşınabilir""]",avokadolu-falafelli-sandvic-5c4ebd,501,58.00,20.10,22.00
33f60898-7b92-5063-883d-13f45624c294,13646f33-77b1-4657-a6cf-b9911e84bb84,Tavuklu soğanlı kabak spagetti,"Asya esintili bu tabak, klasik makarna hissini daha kontrollü bir içerikle sunar. Sos ve sebze dengesi sayesinde hafif ama tatmin edici bir alternatif oluşturur.",False,False,False,False,"[""Kabak Spagetti tabanını uygun süre boyunca pişirin."", ""Tavuk Göğsü ve soğan ile sos temelini hazırlayın."", ""Domates Sosu karışımını tavada kısa süre çevirin."", ""Haşlanan tabanı sos ile buluşturup birkaç dakika dinlendirin."", ""Sıcak servis edip taze otlarla tamamlayın.""]",NULL,18,False,14,1,"[""akşam yemeği"", ""makarna"", ""asya esintisi"", ""yüksek protein"", ""düşük karbonhidrat"", ""karabiberli""]",tavuklu-soganli-kabak-spagetti-33f608,328,27.00,10.20,32.00
a8d451dc-6555-572f-b473-6b39581e13a6,13646f33-77b1-4657-a6cf-b9911e84bb84,Armutlu ananaslı ve havuçlu smoothie,"Orta doğu ilhamlı ara öğün alternatifi olan bu smoothie, baklagil, tahin ve taze ot dengesi hedefini destekler. Meyve ve yeşil sebzeyi dengeli şekilde bir araya getirir.",False,False,False,False,"[""Armut ve ananas meyvelerini uygun boyutta hazırlayın."", ""Blender haznesine süzme yoğurt, havuç ve meyveleri ekleyin."", ""İsteğe göre birkaç buz küpü ve su ilavesi yapın."", ""Karışım pürüzsüz olana kadar blenderdan geçirin."", ""Bekletmeden servis edin.""]",NULL,0,False,7,1,"[""ara öğün"", ""smoothie"", ""mezze"", ""lif"", ""renkli sebze"", ""pratik""]",armutlu-ananasli-ve-havuclu-smoothie-a8d451,374,49.00,11.60,18.40
c37f5c25-ad60-5302-9086-63a6cd2391ab,13646f33-77b1-4657-a6cf-b9911e84bb84,Naneli pak choili ve semizotlu omlet,"Renkli ve güçlü dokulu bu tarif, yumurta ve sebzeleri tek tavada bir araya getirir. Günün ilk yarısında dengeli bir protein kaynağı arayanlar için uygundur.",False,False,False,False,"[""Pak Choi ve semizotu küçük parçalar halinde doğrayın."", ""Yapışmaz tavayı ısıtıp sebzeleri kısa süre soteleyin."", ""Yumurtaları çırpıp lor peyniri ile pürüzsüz hale getirin."", ""Karışımı tavaya dökün ve kısık ateşte kontrollü şekilde pişirin."", ""Omleti ikiye katlayıp sıcak servis edin.""]",NULL,13,False,8,1,"[""kahvaltı"", ""omlet"", ""latin esintisi"", ""tava"", ""asya esintisi"", ""yüksek protein""]",naneli-pak-choili-ve-semizotlu-omlet-c37f5c,446,12.00,25.60,42.00
d1031afd-e6a5-5858-9683-f042709b93f9,13646f33-77b1-4657-a6cf-b9911e84bb84,Hardallı sarımsaklı ve havuçlu omlet,"Sade ve taze dokulu bu tarif, yumurta ve sebzeleri tek tavada bir araya getirir. Günün ilk yarısında dengeli bir protein kaynağı arayanlar için uygundur.",False,False,False,False,"[""Sarımsak ve havuç küçük parçalar halinde doğrayın."", ""Yapışmaz tavayı ısıtıp sebzeleri kısa süre soteleyin."", ""Yumurtaları çırpıp süzme yoğurt ile pürüzsüz hale getirin."", ""Karışımı tavaya dökün ve kısık ateşte kontrollü şekilde pişirin."", ""Omleti ikiye katlayıp sıcak servis edin.""]",NULL,14,False,8,1,"[""kahvaltı"", ""omlet"", ""iskandinav"", ""tava"", ""aromatik"", ""yüksek protein""]",hardalli-sarimsakli-ve-havuclu-omlet-d1031a,474,20.00,27.30,37.00
